Antiguedad,Dias_Ultima_Compra,Nivel_Satisfaccion,Distancia_Almacen,Numero_Dispositivos,Monto_Cashback,Queja,Es_Nuevo,Tiene_Queja,Alto_Riesgo,Satisfaccion_Baja,Target
8,7,3,33,3,168.83,0,0,0,0,0,0
20,0,3,32,3,296.58,0,0,0,0,0,0
9,0,3,9,4,112.81,0,0,0,0,0,0
20,7,4,20,3,154.67,0,0,0,0,0,0
0,2,2,10,3,128.75,1,0,0,0,0,0
28,9,3,24,4,232.39,0,0,0,0,0,0
22,2,1,7,2,293.85,0,0,0,0,0,0
16,11,3,21,4,276.03,0,0,0,0,0,0
7,2,1,9,5,160.29,0,0,0,0,0,0
1,1,3,28,4,148.77,0,0,0,0,0,1
9,0,3,16,3,122.2,1,0,0,0,0,0
9,7,4,14,4,121.33,1,0,0,0,0,0
4,0,5,8,4,164.1,0,0,0,0,0,0
25,8,3,13,5,153.38,0,0,0,0,0,0
14,6,5,33,4,208.96,0,0,0,0,0,0
4,1,4,9,4,149.76,0,0,0,0,0,0
18,12,3,15,4,155.93,0,0,0,0,0,0
10,3,1,10,5,221.99,0,0,0,0,0,0
18,4,4,27,4,159.2,0,0,0,0,0,0
11,2,4,17,4,166.97,1,0,0,0,0,0
8,9,4,18,5,169.9,0,0,0,0,0,0
22,2,5,14,3,125.87,1,0,0,0,0,0
4,3,5,27,4,224.57,0,0,0,0,0,0
0,3,2,11,4,228.08,1,0,0,0,0,0
18,18,5,35,4,288.28,0,0,0,0,0,0
13,9,3,11,4,175.42,0,0,0,0,0,0
31,3,3,22,4,282.87,1,0,0,0,0,0
0,2,3,17,1,147.07,0,0,0,0,0,1
1,1,5,25,2,154.56,0,0,0,0,0,1
1,1,4,14,4,149.72,1,0,0,0,0,1
20,4,4,22,4,315.81,0,0,0,0,0,0
4,3,1,11,3,148.21,1,0,0,0,0,0
1,2,5,7,3,135.91,0,0,0,0,0,0
8,2,4,22,4,147.88,1,0,0,0,0,0
13,7,3,15,3,139.75,0,0,0,0,0,0
1,4,4,16,4,147.79,0,0,0,0,0,0
25,4,3,17,3,131.49,0,0,0,0,0,0
19,3,3,11,6,222.56,0,0,0,0,0,0
24,3,1,17,5,229.96,0,0,0,0,0,0
0,7,5,22,5,139.19,1,0,0,0,0,1
15,11,4,35,5,260.7,0,0,0,0,0,0
7,7,3,16,3,140.01,1,0,0,0,0,0
19,7,5,6,3,204.53,0,0,0,0,0,0
11,0,5,6,4,128.58,0,0,0,0,0,0
24,14,3,7,4,188.47,0,0,0,0,0,0
29,16,4,21,2,312.22,0,0,0,0,0,0
15,7,5,12,3,233.48,0,0,0,0,0,0
15,3,3,11,4,229.47,1,0,0,0,0,0
4,8,1,14,3,144.24,0,0,0,0,0,0
9,3,3,12,4,121.87,0,0,0,0,0,0
0,0,1,8,4,127.85,0,0,0,0,0,1
7,3,1,6,1,132.8,0,0,0,0,0,0
2,5,3,11,4,167.21,0,0,0,0,0,0
9,2,5,34,5,150.59,0,0,0,0,0,0
4,2,3,8,3,130.67,0,0,0,0,0,0
10,1,1,18,5,191.52,0,0,0,0,0,0
9,0,3,26,3,122.59,0,0,0,0,0,0
7,2,3,32,4,170.39,0,0,0,0,0,0
1,8,4,7,6,147.16,1,0,0,0,0,1
0,7,1,9,4,203.25,1,0,0,0,0,1
19,9,4,11,4,169.47,0,0,0,0,0,0
16,12,1,32,3,269.59,1,0,0,0,0,0
4,8,5,9,5,174.68,0,0,0,0,0,0
16,3,3,36,4,170.56,0,0,0,0,0,0
0,3,5,12,3,129.6,0,0,0,0,0,1
31,3,5,35,5,227.66,0,0,0,0,0,0
30,9,1,13,1,152.2,1,0,0,0,0,0
15,8,5,7,4,166.03,0,0,0,0,0,0
6,8,3,9,4,174.98,1,0,0,0,0,0
6,3,2,15,4,214.98,0,0,0,0,0,0
30,10,5,13,3,295.66,0,0,0,0,0,0
6,3,3,13,3,216.91,0,0,0,0,0,0
5,3,3,14,5,148.29,0,0,0,0,0,0
1,2,2,27,3,127.13,0,0,0,0,0,0
7,5,1,9,4,180.05,0,0,0,0,0,0
9,1,3,28,3,121.32,1,0,0,0,0,1
1,3,1,13,4,81,1,0,0,0,0,0
2,8,5,23,3,181.61,0,0,0,0,0,0
16,3,3,36,4,170.56,0,0,0,0,0,0
16,5,4,19,4,152.66,0,0,0,0,0,0
19,8,5,9,1,232.25,0,0,0,0,0,0
16,1,4,14,2,148.72,1,0,0,0,0,0
11,0,2,9,3,168.61,1,0,0,0,0,0
10,12,1,21,4,190.86,1,0,0,0,0,0
15,11,3,14,6,324.73,0,0,0,0,0,0
14,9,4,14,4,323.33,0,0,0,0,0,0
1,1,5,31,2,135.91,0,0,0,0,0,1
23,3,3,8,3,276.39,0,0,0,0,0,0
13,13,4,32,3,156.05,0,0,0,0,0,0
0,4,4,6,3,132.02,1,0,0,0,0,1
19,0,3,13,3,152.58,0,0,0,0,0,0
8,2,1,14,4,123.76,0,0,0,0,0,0
25,4,5,14,3,129.5,0,0,0,0,0,0
10,3,2,17,4,224.8,0,0,0,0,0,0
1,1,4,7,6,192.35,0,0,0,0,0,1
19,3,3,14,3,189.34,0,0,0,0,0,0
6,1,3,31,3,145.39,0,0,0,0,0,0
1,4,5,32,4,147.24,0,0,0,0,0,0
16,1,3,12,4,145.93,0,0,0,0,0,0
9,3,3,13,4,160.06,1,0,0,0,0,0
1,5,2,26,3,178.04,1,0,0,0,0,1
7,3,2,9,4,150,0,0,0,0,0,0
1,3,3,25,2,187.32,0,0,0,0,0,0
8,1,3,17,4,147.2,1,0,0,0,0,0
9,0,1,21,3,112.32,0,0,0,0,0,0
17,3,1,9,5,226.69,0,0,0,0,0,1
9,8,3,15,4,122.06,0,0,0,0,0,0
7,3,1,12,5,154.11,0,0,0,0,0,0
16,9,1,16,4,161.73,0,0,0,0,0,0
3,4,3,16,4,165.78,0,0,0,0,0,0
11,2,1,8,3,139.44,1,0,0,0,0,0
11,0,5,14,3,126.19,0,0,0,0,0,0
13,12,5,11,4,204.75,1,0,0,0,0,0
17,12,3,22,5,301.03,0,0,0,0,0,0
11,9,1,12,5,153.29,1,0,0,0,0,0
7,1,3,15,4,188.88,1,0,0,0,0,0
6,6,4,12,5,183.78,0,0,0,0,0,0
11,0,3,10,3,133.06,0,0,0,0,0,0
15,0,5,32,3,231.91,1,0,0,0,0,0
13,4,5,35,5,167.84,0,0,0,0,0,1
6,8,4,12,4,152.18,0,0,0,0,0,0
7,4,1,8,3,162.74,0,0,0,0,0,0
0,6,3,13,5,160.74,1,0,0,0,0,1
16,1,2,9,5,192.81,0,0,0,0,0,0
5,5,1,17,4,190.83,1,0,0,0,0,0
19,3,1,8,3,203.68,1,0,0,0,0,0
9,4,3,22,3,121.44,0,0,0,0,0,0
0,7,5,13,4,168.11,0,0,0,0,0,0
20,1,1,31,4,150.87,0,0,0,0,0,1
8,4,4,7,4,168.25,0,0,0,0,0,0
12,4,1,8,4,152.04,0,0,0,0,0,0
1,2,3,8,4,137.23,0,0,0,0,0,0
4,2,5,13,3,196.37,0,0,0,0,0,0
9,3,5,7,5,149.5,0,0,0,0,0,0
12,3,4,16,5,153.99,0,0,0,0,0,0
25,1,2,7,4,152.23,0,0,0,0,0,0
6,3,1,14,4,217.04,0,0,0,0,0,0
21,1,1,9,4,292.52,1,0,0,0,0,0
7,2,1,8,1,129.32,1,0,0,0,0,0
9,1,3,31,5,122.93,0,0,0,0,0,1
7,10,3,12,3,148.09,0,0,0,0,0,0
3,2,3,16,3,196.67,0,0,0,0,0,0
0,4,5,9,3,131.02,0,0,0,0,0,1
1,1,5,13,2,141.01,1,0,0,0,0,1
13,10,4,8,3,156.77,0,0,0,0,0,0
0,2,4,8,3,134.68,0,0,0,0,0,0
9,4,4,30,3,121.77,0,0,0,0,0,0
17,3,3,11,4,131.62,0,0,0,0,0,0
8,2,5,14,4,124.5,0,0,0,0,0,0
0,0,3,14,5,123.51,0,0,0,0,0,1
14,3,1,15,4,165.69,1,0,0,0,0,0
1,3,3,7,5,231.09,0,0,0,0,0,1
9,12,4,9,6,313.24,1,0,0,0,0,1
0,3,5,15,4,134.07,0,0,0,0,0,1
20,3,4,33,5,204.91,0,0,0,0,0,0
17,3,1,16,3,164.65,1,0,0,0,0,0
17,3,3,35,2,172.39,0,0,0,0,0,0
1,3,3,17,4,225.48,0,0,0,0,0,1
16,3,4,12,4,209.46,1,0,0,0,0,1
0,8,2,10,5,204,0,0,0,0,0,1
1,3,3,17,5,151.25,0,0,0,0,0,1
0,4,4,6,3,138.16,0,0,0,0,0,0
20,3,2,7,4,321.27,0,0,0,0,0,0
21,8,5,21,4,174.6,0,0,0,0,0,0
29,3,3,15,4,272.56,1,0,0,0,0,0
23,3,5,7,4,160.8,0,0,0,0,0,0
13,13,3,15,3,234.99,0,0,0,0,0,0
6,5,3,13,4,155.38,0,0,0,0,0,0
4,4,5,14,4,146.66,1,0,0,0,0,1
9,1,4,6,3,120.96,0,0,0,0,0,0
5,1,5,9,5,189.1,0,0,0,0,0,0
6,3,3,15,5,153.46,0,0,0,0,0,1
3,7,4,10,4,152.09,1,0,0,0,0,0
5,3,3,14,1,151.75,0,0,0,0,0,0
1,3,3,6,5,155.33,0,0,0,0,0,0
11,4,5,17,4,152.82,1,0,0,0,0,0
10,9,4,25,3,176.42,1,0,0,0,0,0
27,8,1,9,5,279.27,0,0,0,0,0,0
11,3,4,14,4,124.4,0,0,0,0,0,0
1,5,5,10,4,156.02,0,0,0,0,0,1
27,3,1,13,4,149.5,0,0,0,0,0,0
5,8,1,16,3,153.96,0,0,0,0,0,0
17,2,3,6,4,159.85,0,0,0,0,0,0
28,0,4,14,4,235.77,1,0,0,0,0,0
6,9,1,17,4,178.96,0,0,0,0,0,0
1,1,4,7,5,153.36,0,0,0,0,0,0
3,8,5,28,3,184.12,0,0,0,0,0,0
9,2,3,23,5,123.05,0,0,0,0,0,0
16,0,2,12,4,266.27,1,0,0,0,0,0
14,3,3,9,5,153.09,0,0,0,0,0,0
13,2,5,8,3,133.77,0,0,0,0,0,0
9,7,3,12,5,127.41,0,0,0,0,0,0
17,2,3,8,3,202.09,1,0,0,0,0,0
16,0,1,12,4,266.27,1,0,0,0,0,0
19,9,3,9,3,274.65,0,0,0,0,0,0
16,7,2,14,3,124.55,0,0,0,0,0,0
6,1,3,31,3,145.39,0,0,0,0,0,0
14,2,4,12,4,160.32,1,0,0,0,0,0
8,1,1,13,4,126.9,0,0,0,0,0,0
9,7,1,16,3,199.8,0,0,0,0,0,0
18,0,5,13,3,197.24,0,0,0,0,0,0
0,2,1,8,3,142.27,0,0,0,0,0,0
9,1,3,7,3,112.23,0,0,0,0,0,0
9,0,1,10,3,119.51,0,0,0,0,0,0
3,1,4,13,5,153.04,0,0,0,0,0,0
4,5,3,25,4,151.32,0,0,0,0,0,0
11,8,3,7,5,184.93,0,0,0,0,0,0
1,2,3,29,4,146.32,1,0,0,0,0,1
16,2,5,30,3,204.48,1,0,0,0,0,1
7,2,1,16,1,147.24,0,0,0,0,0,0
5,3,1,19,4,164.29,1,0,0,0,0,0
1,3,3,25,4,171.14,1,0,0,0,0,1
4,1,3,10,4,145.83,0,0,0,0,0,0
15,7,5,12,3,233.48,0,0,0,0,0,0
9,0,4,16,3,120.08,0,0,0,0,0,0
8,1,3,10,3,142.49,1,0,0,0,0,0
0,0,5,14,3,123.98,1,0,0,0,0,1
2,9,5,23,4,179.88,0,0,0,0,0,0
5,7,3,12,3,150.1,0,0,0,0,0,0
0,0,3,26,3,198.24,0,0,0,0,0,1
1,1,5,19,5,145.33,0,0,0,0,0,1
11,3,4,31,4,220.61,0,0,0,0,0,0
2,2,3,9,3,155.61,0,0,0,0,0,0
11,2,3,9,3,143.17,1,0,0,0,0,0
11,3,1,7,4,261.03,1,0,0,0,0,0
15,0,3,8,3,126.96,1,0,0,0,0,0
4,8,2,34,4,178.04,0,0,0,0,0,0
19,8,4,9,4,173.05,0,0,0,0,0,0
0,2,3,14,3,126.1,0,0,0,0,0,1
10,2,3,13,3,236.64,0,0,0,0,0,0
3,3,3,16,4,154.74,0,0,0,0,0,0
7,13,1,30,4,259.58,1,0,0,0,0,0
21,2,3,12,4,308,0,0,0,0,0,0
19,1,3,8,3,278.61,0,0,0,0,0,0
4,9,1,9,5,166.52,0,0,0,0,0,0
21,1,4,9,4,174.78,0,0,0,0,0,0
1,3,5,36,6,174.69,0,0,0,0,0,1
19,8,3,24,3,148.1,0,0,0,0,0,0
51,9,3,7,2,174,0,0,0,0,0,0
13,7,4,8,1,142.44,0,0,0,0,0,0
8,2,2,31,4,136.81,0,0,0,0,0,0
12,3,1,7,5,211.86,0,0,0,0,0,0
15,8,4,32,3,235.25,0,0,0,0,0,0
1,6,3,7,4,145.58,0,0,0,0,0,1
0,0,1,11,3,110.51,0,0,0,0,0,0
8,3,4,22,4,186.06,0,0,0,0,0,0
22,7,4,13,3,204.66,0,0,0,0,0,0
1,7,3,16,3,136.6,0,0,0,0,0,0
9,10,3,15,4,166.48,0,0,0,0,0,0
3,3,1,9,4,213.53,0,0,0,0,0,0
12,7,2,17,3,176.54,0,0,0,0,0,1
19,3,3,14,4,169.77,1,0,0,0,0,0
19,2,3,27,4,173.5,0,0,0,0,0,0
26,3,3,13,1,248.14,0,0,0,0,0,0
20,10,4,10,4,203.33,1,0,0,0,0,0
9,1,3,14,4,149.04,0,0,0,0,0,0
13,7,3,15,3,139.75,0,0,0,0,0,0
17,4,3,30,5,137.08,0,0,0,0,0,0
8,3,3,17,4,154.36,1,0,0,0,0,1
7,3,4,14,3,123.42,1,0,0,0,0,1
1,1,1,22,4,137.32,0,0,0,0,0,0
12,7,3,24,3,145.34,0,0,0,0,0,0
9,7,4,7,4,197.95,0,0,0,0,0,0
2,0,3,14,3,126.42,0,0,0,0,0,0
4,1,4,9,4,149.76,0,0,0,0,0,0
29,1,1,8,2,272.32,0,0,0,0,0,0
1,3,3,14,4,153.86,1,0,0,0,0,1
20,10,4,20,4,180.62,0,0,0,0,0,0
1,1,5,31,2,135.91,0,0,0,0,0,1
10,11,1,7,4,164.74,0,0,0,0,0,0
1,5,4,7,4,188.49,1,0,0,0,0,0
9,3,4,9,5,227.74,0,0,0,0,0,0
4,8,5,30,4,168.12,0,0,0,0,0,0
4,2,3,11,3,183.46,0,0,0,0,0,0
10,7,3,6,4,159.93,0,0,0,0,0,0
13,16,5,7,3,268.23,0,0,0,0,0,0
1,1,5,17,5,149.04,1,0,0,0,0,1
8,6,4,6,3,172.95,0,0,0,0,0,0
11,3,3,14,1,126.1,0,0,0,0,0,0
1,3,2,16,4,151.1,0,0,0,0,0,0
15,8,1,15,3,136.73,0,0,0,0,0,0
24,3,3,9,3,231.16,0,0,0,0,0,0
30,1,5,7,4,145.66,0,0,0,0,0,0
1,3,3,25,2,187.32,0,0,0,0,0,0
1,3,5,16,4,152.28,0,0,0,0,0,0
20,10,3,10,4,299.65,0,0,0,0,0,0
0,7,1,18,3,145.81,1,0,0,0,0,1
1,3,4,23,4,148.73,1,0,0,0,0,1
6,2,1,22,3,153.68,1,0,0,0,0,0
17,9,3,13,5,165.81,1,0,0,0,0,0
7,3,1,9,4,150,0,0,0,0,0,0
17,12,3,22,5,301.03,0,0,0,0,0,0
13,3,1,7,3,165.13,0,0,0,0,0,0
5,3,5,14,4,221.37,0,0,0,0,0,0
0,0,1,8,4,111.02,0,0,0,0,0,1
16,1,5,33,3,208.2,0,0,0,0,0,0
1,3,5,36,6,174.69,0,0,0,0,0,1
17,1,3,17,5,177.57,0,0,0,0,0,0
9,2,1,7,6,154.77,0,0,0,0,0,0
14,1,4,16,4,161.17,1,0,0,0,0,0
4,8,5,9,5,174.68,0,0,0,0,0,0
9,3,4,23,4,155.07,0,0,0,0,0,0
8,3,3,9,4,165.33,0,0,0,0,0,0
7,1,1,7,3,198.88,0,0,0,0,0,0
1,11,5,30,5,198.36,0,0,0,0,0,1
19,6,5,33,5,168.85,0,0,0,0,0,0
1,9,1,33,4,181.17,1,0,0,0,0,1
8,3,5,7,5,229.82,0,0,0,0,0,1
6,6,4,20,3,127.56,0,0,0,0,0,0
13,13,3,12,3,232.37,0,0,0,0,0,0
13,8,3,8,1,163.77,0,0,0,0,0,0
12,3,3,10,4,231.09,0,0,0,0,0,0
10,5,4,20,4,146.43,0,0,0,0,0,0
1,9,3,30,5,160.4,0,0,0,0,0,0
4,3,3,16,3,210.31,0,0,0,0,0,0
8,8,4,31,4,209.03,0,0,0,0,0,0
6,3,4,11,4,164.31,0,0,0,0,0,0
5,2,5,14,3,124.39,0,0,0,0,0,0
17,1,1,32,5,232.98,0,0,0,0,0,0
